id	sex	population	region	dataset
HG04185	M	BEB	SAS	KGP
HG04186	F	BEB	SAS	KGP
HG04187	M	BEB	SAS	KGP
HG04188	M	BEB	SAS	KGP
HG04189	F	BEB	SAS	KGP
HG04191	M	BEB	SAS	KGP
HG04192	F	BEB	SAS	KGP
HG04193	M	BEB	SAS	KGP
HG04194	M	BEB	SAS	KGP
HG04195	F	BEB	SAS	KGP
HG04198	M	ITU	SAS	KGP
HG04199	M	STU	SAS	KGP
HG04200	F	ITU	SAS	KGP
HG04202	F	ITU	SAS	KGP
HG04204	M	STU	SAS	KGP
HG04206	M	ITU	SAS	KGP
HG04209	F	ITU	SAS	KGP
HG04210	M	STU	SAS	KGP
HG04211	M	ITU	SAS	KGP
HG04212	F	ITU	SAS	KGP
HG04214	F	ITU	SAS	KGP
HG04215	M	STU	SAS	KGP
HG04216	F	ITU	SAS	KGP
HG04217	F	ITU	SAS	KGP
HG04219	M	ITU	SAS	KGP
HG04222	M	ITU	SAS	KGP
HG04225	M	ITU	SAS	KGP
HG04227	F	STU	SAS	KGP
HG04228	M	STU	SAS	KGP
HG04229	M	STU	SAS	KGP
HG04235	M	ITU	SAS	KGP
HG04238	M	ITU	SAS	KGP
HG04239	M	ITU	SAS	KGP
NA06984	M	CEU	EUR	KGP
NA06985	F	CEU	EUR	KGP
NA06986	M	CEU	EUR	KGP
NA06989	F	CEU	EUR	KGP
NA06991	F	CEU	EUR	KGP
NA06993	M	CEU	EUR	KGP
NA06994	M	CEU	EUR	KGP
NA06995	M	CEU	EUR	KGP
NA06997	F	CEU	EUR	KGP
NA07000	F	CEU	EUR	KGP
NA07014	F	CEU	EUR	KGP
NA07019	F	CEU	EUR	KGP
NA07022	M	CEU	EUR	KGP
NA07029	M	CEU	EUR	KGP
NA07031	F	CEU	EUR	KGP
NA07034	M	CEU	EUR	KGP
NA07037	F	CEU	EUR	KGP
NA07045	F	CEU	EUR	KGP
NA07048	M	CEU	EUR	KGP
NA07051	M	CEU	EUR	KGP
NA07055	F	CEU	EUR	KGP
NA07056	F	CEU	EUR	KGP
NA07345	F	CEU	EUR	KGP
NA07346	F	CEU	EUR	KGP
NA07347	M	CEU	EUR	KGP
NA07348	F	CEU	EUR	KGP
NA07349	M	CEU	EUR	KGP
NA07357	M	CEU	EUR	KGP
NA07435	M	CEU	EUR	KGP
NA10830	M	CEU	EUR	KGP
NA10831	F	CEU	EUR	KGP
NA10835	M	CEU	EUR	KGP
NA10836	F	CEU	EUR	KGP
NA10837	M	CEU	EUR	KGP
NA10838	M	CEU	EUR	KGP
NA10839	F	CEU	EUR	KGP
NA10840	F	CEU	EUR	KGP
NA10842	M	CEU	EUR	KGP
NA10843	F	CEU	EUR	KGP
NA10845	M	CEU	EUR	KGP
NA10846	M	CEU	EUR	KGP
NA10847	F	CEU	EUR	KGP
NA10851	M	CEU	EUR	KGP
NA10852	F	CEU	EUR	KGP
NA10854	F	CEU	EUR	KGP
NA10855	F	CEU	EUR	KGP
NA10856	M	CEU	EUR	KGP
NA10857	M	CEU	EUR	KGP
NA10859	F	CEU	EUR	KGP
NA10860	M	CEU	EUR	KGP
NA10861	F	CEU	EUR	KGP
NA10863	F	CEU	EUR	KGP
NA10864	F	CEU	EUR	KGP
NA10865	M	CEU	EUR	KGP
NA11829	M	CEU	EUR	KGP
NA11830	F	CEU	EUR	KGP
NA11831	M	CEU	EUR	KGP
NA11832	F	CEU	EUR	KGP
NA11839	M	CEU	EUR	KGP
NA11840	F	CEU	EUR	KGP
NA11843	M	CEU	EUR	KGP
NA11881	M	CEU	EUR	KGP
NA11882	F	CEU	EUR	KGP
NA11891	M	CEU	EUR	KGP
NA11892	F	CEU	EUR	KGP
NA11893	M	CEU	EUR	KGP
NA11894	F	CEU	EUR	KGP
NA11917	M	CEU	EUR	KGP
NA11918	F	CEU	EUR	KGP
NA11919	M	CEU	EUR	KGP
NA11920	F	CEU	EUR	KGP
NA11930	M	CEU	EUR	KGP
NA11931	F	CEU	EUR	KGP
NA11932	M	CEU	EUR	KGP
NA11933	F	CEU	EUR	KGP
NA11992	M	CEU	EUR	KGP
NA11993	F	CEU	EUR	KGP
NA11994	M	CEU	EUR	KGP
NA11995	F	CEU	EUR	KGP
NA12003	M	CEU	EUR	KGP
NA12004	F	CEU	EUR	KGP
